Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	CellType
CDKN1C	-1.4160797425154574	8.587770397801748	-7.888219262462764	1.5445695144056968e-13	1.5488943090460328e-9	20.268025178008646	glomeruli
PEA15	-0.997693401124314	7.438357706813679	-7.608270015373017	8.642164383783357e-13	3.3294822443786355e-9	18.487124463419512	glomeruli
CALM2	-1.032412447169904	8.679257418346502	-7.581647954543459	1.0162000820121178e-12	3.3294822443786355e-9	18.431367098793537	glomeruli
HIPK2	-1.1714793967101498	7.55492965625473	-7.537550836187818	1.3280742897401817e-12	3.3294822443786355e-9	18.077823952102555	glomeruli
PCOLCE2	-1.2735772174020725	6.703099964818923	-7.329663095592525	4.636083856247672e-12	9.29812978209033e-9	16.830826146675705	glomeruli
DYNLL1	-0.8604059504178831	7.996611662830284	-7.258543896385588	7.078212400649419e-12	1.1830052325618729e-8	16.52969744067483	glomeruli
NDNF	-1.3320043033082234	8.12082995118454	-7.12212732303181	1.5832224071339552e-11	1.9845692873424127e-8	15.809402029952563	glomeruli
DSTN	-0.9798016628253492	8.494100957420526	-7.125038030709054	1.5564036824881825e-11	1.9845692873424127e-8	15.808185228765925	glomeruli
MPP5	-1.1062504221737226	7.156105253598961	-7.09681562764097	1.8364936584198002e-11	2.0462620451815283e-8	15.55183476844459	glomeruli
SEPTIN11	-0.9305405694989006	7.28478370781269	-6.830640763882237	8.579664150199444e-11	8.603687209820003e-8	14.111727934257855	glomeruli
ARHGEF3	-0.9144512990950622	7.241604684496999	-6.788942879498142	1.0888201379038652e-10	9.926080311727236e-8	13.899286934970847	glomeruli
ARHGEF12	-0.8661442340757444	7.726899708522729	-6.74871135244855	1.3691076933593776e-10	1.1441176624173198e-7	13.707845178050954	glomeruli
SUPT7L	-1.5280247202905761	10.071629792975264	-6.709403833754574	1.7111391480592358e-10	1.319946413595232e-7	13.520816852570663	glomeruli
ITGB1	-0.7423819838652388	8.861624149036404	-6.616130447660916	2.895357450121213e-10	2.0739031792725374e-7	13.024477796454484	glomeruli
FGF1	-0.9977282848413749	8.389491636281454	-6.482166370163092	6.1133460406186e-10	4.086975606354888e-7	12.29989756227209	glomeruli
GOLIM4	-0.8720882373550191	7.423141225637197	-6.408800600709236	9.167712788678272e-10	5.52110782508951e-7	11.903320391745847	glomeruli
MME	-1.1904902903741132	9.005916304991572	-6.4050343407246455	9.359676209266222e-10	5.52110782508951e-7	11.880650675717025	glomeruli
MYL9	-0.9236244492700255	8.758486548201194	-6.189871367459866	3.018295111098254e-9	1.6815257430051828e-6	10.776695601238446	glomeruli
KLK7	-1.053204181095974	6.752156845790402	-6.172061145744766	3.32161090176805e-9	1.753111269627895e-6	10.655790834598326	glomeruli
MRFAP1	-0.827479578734209	7.805024601498338	-6.148838609507268	3.762323757126571e-9	1.8864291318232626e-6	10.57041559174858	glomeruli
CALD1	-0.8769471797467283	7.444196736280433	-6.13933102608747	3.95885794716448e-9	1.8904489282935907e-6	10.518292889737495	glomeruli
AIF1	-1.009246254624639	7.094879019646189	-6.122061307550026	4.341905434139597e-9	1.9791194406159946e-6	10.429908164251588	glomeruli
