TargetName	Module	CodeClass	GeneID	SystematicName	Negative
A2M	Hs_R_NGS_WTA_v1.0	Endogenous	2	A2M	FALSE
NAT2	Hs_R_NGS_WTA_v1.0	Endogenous	10	NAT2	FALSE
ACADM	Hs_R_NGS_WTA_v1.0	Endogenous	34	ACADM	FALSE
ACADS	Hs_R_NGS_WTA_v1.0	Endogenous	35	ACADS	FALSE
ACAT1	Hs_R_NGS_WTA_v1.0	Endogenous	38	ACAT1	FALSE
ACVRL1	Hs_R_NGS_WTA_v1.0	Endogenous	94	ACVRL1	FALSE
PSEN1	Hs_R_NGS_WTA_v1.0	Endogenous	5663	PSEN1	FALSE
ADA	Hs_R_NGS_WTA_v1.0	Endogenous	100	ADA	FALSE
SGCA	Hs_R_NGS_WTA_v1.0	Endogenous	6442	SGCA	FALSE
ADRB2	Hs_R_NGS_WTA_v1.0	Endogenous	154	ADRB2	FALSE
ADRB3	Hs_R_NGS_WTA_v1.0	Endogenous	155	ADRB3	FALSE
AGL	Hs_R_NGS_WTA_v1.0	Endogenous	178	AGL	FALSE
AGXT	Hs_R_NGS_WTA_v1.0	Endogenous	189	AGXT	FALSE
ABCD1	Hs_R_NGS_WTA_v1.0	Endogenous	215	ABCD1	FALSE
ALDOB	Hs_R_NGS_WTA_v1.0	Endogenous	229	ALDOB	FALSE
AMPD1	Hs_R_NGS_WTA_v1.0	Endogenous	270	AMPD1	FALSE
APC	Hs_R_NGS_WTA_v1.0	Endogenous	324	APC	FALSE
APOA1	Hs_R_NGS_WTA_v1.0	Endogenous	335	APOA1	FALSE
APOC3	Hs_R_NGS_WTA_v1.0	Endogenous	345	APOC3	FALSE
APOE	Hs_R_NGS_WTA_v1.0	Endogenous	348	APOE	FALSE
APOH	Hs_R_NGS_WTA_v1.0	Endogenous	350	APOH	FALSE
ARSB	Hs_R_NGS_WTA_v1.0	Endogenous	411	ARSB	FALSE
ASL	Hs_R_NGS_WTA_v1.0	Endogenous	435	ASL	FALSE
ASPA	Hs_R_NGS_WTA_v1.0	Endogenous	443	ASPA	FALSE
ASS1	Hs_R_NGS_WTA_v1.0	Endogenous	445	ASS1	FALSE
ATM	Hs_R_NGS_WTA_v1.0	Endogenous	472	ATM	FALSE
ATP7A	Hs_R_NGS_WTA_v1.0	Endogenous	538	ATP7A	FALSE
ATP7B	Hs_R_NGS_WTA_v1.0	Endogenous	540	ATP7B	FALSE
AVPR2	Hs_R_NGS_WTA_v1.0	Endogenous	554	AVPR2	FALSE
BLM	Hs_R_NGS_WTA_v1.0	Endogenous	641	BLM	FALSE
BRCA2	Hs_R_NGS_WTA_v1.0	Endogenous	675	BRCA2	FALSE
BTD	Hs_R_NGS_WTA_v1.0	Endogenous	686	BTD	FALSE
BTK	Hs_R_NGS_WTA_v1.0	Endogenous	695	BTK	FALSE
SERPING1	Hs_R_NGS_WTA_v1.0	Endogenous	710	SERPING1	FALSE
C2	Hs_R_NGS_WTA_v1.0	Endogenous	717	C2	FALSE
C3	Hs_R_NGS_WTA_v1.0	Endogenous	718	C3	FALSE
C8B	Hs_R_NGS_WTA_v1.0	Endogenous	732	C8B	FALSE
CA2	Hs_R_NGS_WTA_v1.0	Endogenous	760	CA2	FALSE
CACNA1S	Hs_R_NGS_WTA_v1.0	Endogenous	779	CACNA1S	FALSE
